name,datetime,temp,feelslike,dew,humidity,precip,precipprob,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,conditions,icon,stations
"Algiers,Algeria",2021-01-01T00:00:00,40.2,40.2,36.6,86.86,0,0,,,,,2.8,270,,38.5,6.2,0,,0,,Partially cloudy,partly-cloudy-night,"60390099999,DAAG"
"Algiers,Algeria",2021-01-01T01:00:00,52.5,52.5,41.1,65,0,0,,,,,2.2,207,1012.1,11.5,6.4,0,,0,,Clear,clear-night,"60390099999,60369099999,DAAG"
"Algiers,Algeria",2021-01-01T02:00:00,43.4,39.6,39.5,86.08,0,0,,,,,6.3,273,1027,28.3,6.2,0,,0,,Partially cloudy,partly-cloudy-night,"60390099999,9V8207,DAAG"
"Algiers,Algeria",2021-01-01T03:00:00,46.4,44.2,41,81.35,0,0,,,,,4.7,260,,50,6.2,0,,0,,Partially cloudy,partly-cloudy-night,"60390099999,DAAG"
"Algiers,Algeria",2021-01-01T04:00:00,50.5,50.5,41.4,70.63,0,0,,,,,3.5,190,1010.9,2.7,6.2,0,,0,,Clear,clear-night,"60371099999,60381099999,60369099999,60372099999,60394099999,60374099999"
"Algiers,Algeria",2021-01-01T05:00:00,41,39.1,37.4,86.9,0,0,,,,,3.4,270,,50,6.2,0,,0,,Partially cloudy,partly-cloudy-night,"60390099999,DAAG"
"Algiers,Algeria",2021-01-01T06:00:00,39.2,37.1,35.6,86.8,0,0,,,,,3.4,250,,27.7,6.2,0,,0,,Partially cloudy,partly-cloudy-night,"60390099999,DAAG"
"Algiers,Algeria",2021-01-01T07:00:00,52.9,52.9,41.4,64.89,0,0,,,,,5.8,205,1008.9,13.8,6.4,0,,0,,Clear,clear-night,"60390099999,60415099999,9V8207,60437099999,60369099999,DAAG"
"Algiers,Algeria",2021-01-01T08:00:00,46.4,45.3,39.2,75.86,0,0,,,,,3.4,250,,50,6.2,39,0.1,0,,Partially cloudy,partly-cloudy-night,"60390099999,DAAG"
"Algiers,Algeria",2021-01-01T09:00:00,44.6,43.2,41,87.1,0,0,,,,,3.4,180,,89.1,6.2,175.1,0.6,2,,Partially cloudy,partly-cloudy-day,"60390099999,DAAG"
"Algiers,Algeria",2021-01-01T10:00:00,53.5,53.5,43.1,67.54,0,0,,,,,4.5,167,1007.9,16.3,6.2,253.7,0.9,3,,Clear,clear-day,"60371099999,60381099999,60369099999,60376099999,60372099999,60394099999"
"Algiers,Algeria",2021-01-01T11:00:00,57.4,57.4,43.3,59.24,0,0,,,,,5,252,1027.4,50.6,6.4,228.1,0.8,2,,Partially cloudy,partly-cloudy-day,"60390099999,9V8207,DAAG"
"Algiers,Algeria",2021-01-01T12:00:00,57.2,57.2,42.8,58.55,0,0,,,,,5.8,270,,89.1,6.2,89,0.3,1,,Partially cloudy,partly-cloudy-day,"60390099999,DAAG"
"Algiers,Algeria",2021-01-01T13:00:00,53.8,53.8,46.3,75.78,0.08,100,rain,,,,8.2,210,1006.7,99.1,5,93.7,0.3,1,,"Rain, Overcast",rain,"60390099999,60415099999,60437099999,60369099999,DAAG"
"Algiers,Algeria",2021-01-01T14:00:00,51.8,51.8,44.6,76.36,0,0,,,,,21.9,290,,89.1,5,243.6,0.9,2,,Partially cloudy,partly-cloudy-day,"60390099999,DAAG"
"Algiers,Algeria",2021-01-01T15:00:00,48.2,42.1,44.6,87.29,0,0,,,,31.1,16.1,270,,89.1,3.7,226.7,0.8,2,,Partially cloudy,partly-cloudy-day,"60390099999,DAAG"
